frame_index,timestamp_us,session_time_us
0,1781144558060657,8648
1,1781144558078038,26029
2,1781144558093847,41838
3,1781144558111622,59613
4,1781144558127239,75230
5,1781144558144541,92532
6,1781144558160553,108544
7,1781144558181008,128999
8,1781144558193774,141765
9,1781144558211728,159719
10,1781144558227413,175404
11,1781144558244869,192860
12,1781144558426497,374488
13,1781144558443360,391351
14,1781144558457799,405790
15,1781144558473115,421106
16,1781144558577439,525430
17,1781144558751044,699035
18,1781144558851182,799173
19,1781144558908486,856477
20,1781144559015147,963138
21,1781144559151271,1099262
22,1781144559238798,1186789
23,1781144559408645,1356636
24,1781144559540651,1488642
25,1781144559676536,1624527
26,1781144559911473,1859464
27,1781144560037876,1985867
28,1781144560099205,2047196
29,1781144560270855,2218846
30,1781144560526121,2474112
31,1781144560705325,2653316
32,1781144560745314,2693305
33,1781144560809808,2757799
34,1781144560846533,2794524
35,1781144560891881,2839872
36,1781144560937610,2885601
37,1781144560977014,2925005
38,1781144561012781,2960772
39,1781144561046102,2994093
40,1781144561079373,3027364
41,1781144561106710,3054701
42,1781144561139626,3087617
43,1781144561187681,3135672
44,1781144561225179,3173170
45,1781144561257761,3205752
46,1781144561296054,3244045
47,1781144561336745,3284736
48,1781144561379626,3327617
49,1781144561414608,3362599
50,1781144561444679,3392670
51,1781144561482381,3430372
52,1781144561525059,3473050
53,1781144561564745,3512736
54,1781144561591092,3539083
55,1781144561626614,3574605
56,1781144561669141,3617132
57,1781144561690178,3638169
58,1781144561714924,3662915
59,1781144561742114,3690105
60,1781144561770746,3718737
61,1781144561783255,3731246
62,1781144561797487,3745478
63,1781144561814246,3762237
64,1781144561829048,3777039
65,1781144561842736,3790727
66,1781144561858725,3806716
67,1781144561878432,3826423
68,1781144561892290,3840281
69,1781144561904703,3852694
70,1781144561917209,3865200
71,1781144561933546,3881537
72,1781144561950073,3898064
73,1781144561964302,3912293
74,1781144561978795,3926786
75,1781144561991776,3939767
76,1781144562007876,3955867
77,1781144562023077,3971068
78,1781144562035137,3983128
79,1781144562047657,3995648
80,1781144562060022,4008013
81,1781144562072062,4020053
82,1781144562089801,4037792
83,1781144562104264,4052255
84,1781144562122754,4070745
85,1781144562138910,4086901
86,1781144562150368,4098359
87,1781144562164982,4112973
88,1781144562181115,4129106
89,1781144562194703,4142694
90,1781144562205466,4153457
91,1781144562224870,4172861
92,1781144562238526,4186517
93,1781144562247330,4195321
94,1781144562261440,4209431
95,1781144562271245,4219236
96,1781144562281666,4229657
97,1781144562297588,4245579
98,1781144562310055,4258046
99,1781144562320669,4268660
100,1781144562332549,4280540
101,1781144562344992,4292983
102,1781144562358205,4306196
103,1781144562372533,4320524
104,1781144562387406,4335397
105,1781144562399613,4347604
106,1781144562416385,4364376
107,1781144562429678,4377669
108,1781144562442448,4390439
109,1781144562456409,4404400
110,1781144562467589,4415580
111,1781144562478324,4426315
112,1781144562497048,4445039
113,1781144562510338,4458329
114,1781144562521442,4469433
115,1781144562531793,4479784
116,1781144562552080,4500071
117,1781144562563245,4511236
118,1781144562577582,4525573
119,1781144562592256,4540247
120,1781144562608963,4556954
121,1781144562625460,4573451
122,1781144562640632,4588623
123,1781144562657754,4605745
124,1781144562673813,4621804
125,1781144562690108,4638099
126,1781144562708029,4656020
127,1781144562724642,4672633
128,1781144562741574,4689565
129,1781144562756676,4704667
130,1781144562774088,4722079
131,1781144562789939,4737930
132,1781144562806690,4754681
133,1781144562823735,4771726
134,1781144562840063,4788054
135,1781144562857996,4805987
136,1781144562874199,4822190
137,1781144562890597,4838588
138,1781144562906894,4854885
139,1781144562923193,4871184
140,1781144562939901,4887892
141,1781144562956639,4904630
142,1781144562973684,4921675
143,1781144562990831,4938822
144,1781144563007547,4955538
145,1781144563023211,4971202
146,1781144563039680,4987671
147,1781144563056490,5004481
148,1781144563073196,5021187
149,1781144563090190,5038181
150,1781144563106935,5054926
151,1781144563124262,5072253
152,1781144563140327,5088318
153,1781144563156552,5104543
154,1781144563173947,5121938
155,1781144563189803,5137794
156,1781144563207258,5155249
157,1781144563223933,5171924
158,1781144563240222,5188213
159,1781144563257374,5205365
160,1781144563273341,5221332
