frame_index,timestamp_us,session_time_us
0,1781144558062711,10702
1,1781144558079711,27702
2,1781144558095118,43109
3,1781144558113184,61175
4,1781144558128523,76514
5,1781144558148758,96749
6,1781144558161721,109712
7,1781144558182822,130813
8,1781144558195174,143165
9,1781144558213138,161129
10,1781144558228880,176871
11,1781144558283161,231152
12,1781144558429619,377610
13,1781144558446673,394664
14,1781144558459372,407363
15,1781144558474817,422808
16,1781144558717288,665279
17,1781144558781883,729874
18,1781144558862093,810084
19,1781144558928820,876811
20,1781144559053088,1001079
21,1781144559158727,1106718
22,1781144559260242,1208233
23,1781144559439645,1387636
24,1781144559572043,1520034
25,1781144559713299,1661290
26,1781144559913070,1861061
27,1781144560052505,2000496
28,1781144560138105,2086096
29,1781144560307583,2255574
30,1781144560563524,2511515
31,1781144560707460,2655451
32,1781144560753842,2701833
33,1781144560813558,2761549
34,1781144560849616,2797607
35,1781144560893104,2841095
36,1781144560939280,2887271
37,1781144560981555,2929546
38,1781144561013934,2961925
39,1781144561048008,2995999
40,1781144561080590,3028581
41,1781144561107892,3055883
42,1781144561146140,3094131
43,1781144561189394,3137385
44,1781144561226250,3174241
45,1781144561259166,3207157
46,1781144561299853,3247844
47,1781144561337981,3285972
48,1781144561381402,3329393
49,1781144561416100,3364091
50,1781144561447129,3395120
51,1781144561483937,3431928
52,1781144561526307,3474298
53,1781144561567120,3515111
54,1781144561592495,3540486
55,1781144561627730,3575721
56,1781144561674647,3622638
57,1781144561691738,3639729
58,1781144561717169,3665160
59,1781144561746364,3694355
60,1781144561772748,3720739
61,1781144561787986,3735977
62,1781144561800245,3748236
63,1781144561818087,3766078
64,1781144561831159,3779150
65,1781144561846632,3794623
66,1781144561864304,3812295
67,1781144561883602,3831593
68,1781144561893895,3841886
69,1781144561906366,3854357
70,1781144561919346,3867337
71,1781144561938759,3886750
72,1781144561953853,3901844
73,1781144561966677,3914668
74,1781144561981111,3929102
75,1781144561994382,3942373
76,1781144562012415,3960406
77,1781144562024471,3972462
78,1781144562037041,3985032
79,1781144562050700,3998691
80,1781144562061431,4009422
81,1781144562076871,4024862
82,1781144562092175,4040166
83,1781144562109864,4057855
84,1781144562124657,4072648
85,1781144562140678,4088669
86,1781144562155914,4103905
87,1781144562167773,4115764
88,1781144562183949,4131940
89,1781144562196356,4144347
90,1781144562206929,4154920
91,1781144562226079,4174070
92,1781144562239910,4187901
93,1781144562253273,4201264
94,1781144562262657,4210648
95,1781144562272655,4220646
96,1781144562287798,4235789
97,1781144562301136,4249127
98,1781144562311276,4259267
99,1781144562322479,4270470
100,1781144562334483,4282474
101,1781144562346284,4294275
102,1781144562361661,4309652
103,1781144562373950,4321941
104,1781144562388939,4336930
105,1781144562401560,4349551
106,1781144562420410,4368401
107,1781144562431640,4379631
108,1781144562444004,4391995
109,1781144562457598,4405589
110,1781144562469873,4417864
111,1781144562479739,4427730
112,1781144562499521,4447512
113,1781144562513430,4461421
114,1781144562523009,4471000
115,1781144562533236,4481227
116,1781144562553594,4501585
117,1781144562566115,4514106
118,1781144562579268,4527259
119,1781144562593424,4541415
120,1781144562610761,4558752
121,1781144562626885,4574876
122,1781144562642707,4590698
123,1781144562659037,4607028
124,1781144562675782,4623773
125,1781144562691295,4639286
126,1781144562709754,4657745
127,1781144562725952,4673943
128,1781144562742773,4690764
129,1781144562758789,4706780
130,1781144562775459,4723450
131,1781144562791084,4739075
132,1781144562808043,4756034
133,1781144562824866,4772857
134,1781144562841486,4789477
135,1781144562859582,4807573
136,1781144562875443,4823434
137,1781144562891727,4839718
138,1781144562908086,4856077
139,1781144562924335,4872326
140,1781144562941093,4889084
141,1781144562958108,4906099
142,1781144562975051,4923042
143,1781144562992670,4940661
144,1781144563008708,4956699
145,1781144563024424,4972415
146,1781144563041136,4989127
147,1781144563057700,5005691
148,1781144563074414,5022405
149,1781144563091397,5039388
150,1781144563108140,5056131
151,1781144563125417,5073408
152,1781144563141728,5089719
153,1781144563157729,5105720
154,1781144563175312,5123303
155,1781144563190888,5138879
156,1781144563208484,5156475
157,1781144563225109,5173100
158,1781144563241422,5189413
159,1781144563258527,5206518
160,1781144563274650,5222641
161,1781144563290924,5238915
162,1781144563308342,5256333
163,1781144563324898,5272889
164,1781144563340934,5288925
165,1781144563357356,5305347
166,1781144563376069,5324060
167,1781144563392310,5340301
168,1781144563409821,5357812
169,1781144563425524,5373515
170,1781144563441212,5389203
171,1781144563458906,5406897
172,1781144563475470,5423461
173,1781144563491565,5439556
174,1781144563507747,5455738
175,1781144563525541,5473532
176,1781144563541068,5489059
177,1781144563558688,5506679
178,1781144563574888,5522879
179,1781144563590765,5538756
180,1781144563608220,5556211
181,1781144563624202,5572193
182,1781144563642238,5590229
183,1781144563660396,5608387
