frame_index,timestamp_us,session_time_us
0,1781144558064222,12213
1,1781144558081338,29329
2,1781144558096874,44865
3,1781144558114255,62246
4,1781144558129621,77612
5,1781144558149810,97801
6,1781144558162743,110734
7,1781144558184592,132583
8,1781144558196129,144120
9,1781144558219294,167285
10,1781144558230047,178038
11,1781144558325247,273238
12,1781144558432145,380136
13,1781144558448245,396236
14,1781144558461068,409059
15,1781144558476896,424887
16,1781144558721231,669222
17,1781144558805787,753778
18,1781144558866761,814752
19,1781144558967221,915212
20,1781144559092982,1040973
21,1781144559181483,1129474
22,1781144559304228,1252219
23,1781144559477528,1425519
24,1781144559610096,1558087
25,1781144559752420,1700411
26,1781144559965149,1913140
27,1781144560059312,2007303
28,1781144560151886,2099877
29,1781144560392411,2340402
30,1781144560626646,2574637
31,1781144560713919,2661910
32,1781144560759968,2707959
33,1781144560818119,2766110
34,1781144560851565,2799556
35,1781144560900112,2848103
36,1781144560948200,2896191
37,1781144560987954,2935945
38,1781144561017458,2965449
39,1781144561051570,2999561
40,1781144561084768,3032759
41,1781144561111105,3059096
42,1781144561157355,3105346
43,1781144561193077,3141068
44,1781144561229750,3177741
45,1781144561262344,3210335
46,1781144561304948,3252939
47,1781144561342374,3290365
48,1781144561386360,3334351
49,1781144561419476,3367467
50,1781144561450626,3398617
51,1781144561488868,3436859
52,1781144561530994,3478985
53,1781144561571617,3519608
54,1781144561595984,3543975
55,1781144561632556,3580547
56,1781144561676598,3624589
57,1781144561693158,3641149
58,1781144561719445,3667436
59,1781144561751760,3699751
60,1781144561774425,3722416
61,1781144561789531,3737522
62,1781144561805103,3753094
63,1781144561820074,3768065
64,1781144561832970,3780961
65,1781144561848977,3796968
66,1781144561870975,3818966
67,1781144561885203,3833194
68,1781144561895458,3843449
69,1781144561907753,3855744
70,1781144561920819,3868810
71,1781144561940560,3888551
72,1781144561955214,3903205
73,1781144561968329,3916320
74,1781144561983204,3931195
75,1781144561998540,3946531
76,1781144562013884,3961875
77,1781144562025642,3973633
78,1781144562038488,3986479
79,1781144562052270,4000261
80,1781144562062832,4010823
81,1781144562080249,4028240
82,1781144562093896,4041887
83,1781144562114937,4062928
84,1781144562126880,4074871
85,1781144562141956,4089947
86,1781144562157992,4105983
87,1781144562172924,4120915
88,1781144562187515,4135506
89,1781144562197393,4145384
90,1781144562208243,4156234
91,1781144562227294,4175285
92,1781144562240869,4188860
93,1781144562254722,4202713
94,1781144562263727,4211718
95,1781144562273865,4221856
96,1781144562289962,4237953
97,1781144562302625,4250616
98,1781144562312679,4260670
99,1781144562324601,4272592
100,1781144562335960,4283951
101,1781144562348649,4296640
102,1781144562362792,4310783
103,1781144562375916,4323907
104,1781144562390584,4338575
105,1781144562406196,4354187
106,1781144562422008,4369999
107,1781144562435158,4383149
108,1781144562445517,4393508
109,1781144562458939,4406930
110,1781144562470978,4418969
111,1781144562480922,4428913
112,1781144562501521,4449512
113,1781144562514694,4462685
114,1781144562524299,4472290
115,1781144562539377,4487368
116,1781144562555802,4503793
117,1781144562568495,4516486
118,1781144562584958,4532949
119,1781144562594378,4542369
120,1781144562612061,4560052
121,1781144562628305,4576296
122,1781144562643992,4591983
123,1781144562660474,4608465
124,1781144562678166,4626157
125,1781144562692248,4640239
126,1781144562712217,4660208
127,1781144562727024,4675015
128,1781144562743883,4691874
129,1781144562759943,4707934
130,1781144562778061,4726052
131,1781144562792043,4740034
132,1781144562809025,4757016
133,1781144562826148,4774139
134,1781144562842705,4790696
135,1781144562860831,4808822
136,1781144562878317,4826308
137,1781144562892850,4840841
138,1781144562911669,4859660
139,1781144562925496,4873487
140,1781144562942289,4890280
141,1781144562959692,4907683
142,1781144562978590,4926581
143,1781144562994048,4942039
144,1781144563010000,4957991
145,1781144563025415,4973406
146,1781144563043110,4991101
147,1781144563058949,5006940
148,1781144563075443,5023434
149,1781144563092380,5040371
150,1781144563113195,5061186
151,1781144563126503,5074494
152,1781144563144432,5092423
153,1781144563158668,5106659
154,1781144563176290,5124281
155,1781144563191791,5139782
156,1781144563209538,5157529
157,1781144563226136,5174127
158,1781144563242410,5190401
159,1781144563259540,5207531
160,1781144563276694,5224685
161,1781144563291888,5239879
162,1781144563309704,5257695
163,1781144563325887,5273878
164,1781144563341886,5289877
165,1781144563358330,5306321
166,1781144563379024,5327015
167,1781144563393320,5341311
168,1781144563412776,5360767
169,1781144563426569,5374560
170,1781144563442477,5390468
171,1781144563460058,5408049
172,1781144563481599,5429590
173,1781144563492679,5440670
174,1781144563510170,5458161
175,1781144563526738,5474729
176,1781144563542785,5490776
177,1781144563560218,5508209
178,1781144563577030,5525021
179,1781144563591882,5539873
180,1781144563609321,5557312
181,1781144563625213,5573204
182,1781144563644945,5592936
183,1781144563661493,5609484
184,1781144563675292,5623283
185,1781144563691657,5639648
186,1781144563708964,5656955
187,1781144563725331,5673322
188,1781144563743209,5691200
189,1781144563759098,5707089
190,1781144563775401,5723392
191,1781144563792288,5740279
192,1781144563810617,5758608
193,1781144563824913,5772904
194,1781144563841595,5789586
195,1781144563858198,5806189
196,1781144563874723,5822714
197,1781144563891017,5839008
198,1781144563908990,5856981
199,1781144563925796,5873787
200,1781144563942223,5890214
201,1781144563958830,5906821
202,1781144563975178,5923169
203,1781144563991368,5939359
204,1781144564008399,5956390
205,1781144564024608,5972599
206,1781144564041348,5989339
207,1781144564058533,6006524
208,1781144564075863,6023854
209,1781144564092436,6040427
210,1781144564110183,6058174
211,1781144564124821,6072812
212,1781144564142140,6090131
213,1781144564158260,6106251
214,1781144564175338,6123329
215,1781144564191646,6139637
216,1781144564208462,6156453
217,1781144564225379,6173370
218,1781144564241120,6189111
219,1781144564257578,6205569
220,1781144564275819,6223810
221,1781144564291939,6239930
222,1781144564308508,6256499
223,1781144564327487,6275478
224,1781144564342437,6290428
225,1781144564359371,6307362
226,1781144564376993,6324984
227,1781144564391587,6339578
228,1781144564408582,6356573
229,1781144564424154,6372145
230,1781144564441468,6389459
231,1781144564457974,6405965
232,1781144564474902,6422893
233,1781144564491216,6439207
234,1781144564508368,6456359
235,1781144564525831,6473822
236,1781144564544355,6492346
237,1781144564558454,6506445
238,1781144564576421,6524412
239,1781144564591990,6539981
240,1781144564609763,6557754
241,1781144564624650,6572641
242,1781144564641816,6589807
243,1781144564697791,6645782
244,1781144564716553,6664544
245,1781144564734611,6682602
246,1781144564747042,6695033
247,1781144564760842,6708833
248,1781144564777019,6725010
249,1781144564789686,6737677
250,1781144564800583,6748574
251,1781144564811390,6759381
252,1781144564824545,6772536
253,1781144564842688,6790679
254,1781144564857778,6805769
255,1781144564872069,6820060
256,1781144564886834,6834825
257,1781144564897244,6845235
258,1781144564915515,6863506
259,1781144564926057,6874048
260,1781144564947332,6895323
261,1781144564960167,6908158
262,1781144564979316,6927307
263,1781144564992474,6940465
264,1781144565010836,6958827
265,1781144565028711,6976702
266,1781144565042045,6990036
267,1781144565058583,7006574
268,1781144565074952,7022943
269,1781144565092460,7040451
270,1781144565109126,7057117
271,1781144565127530,7075521
272,1781144565145563,7093554
273,1781144565161135,7109126
274,1781144565174784,7122775
275,1781144565191443,7139434
276,1781144565209366,7157357
277,1781144565226261,7174252
278,1781144565242198,7190189
279,1781144565260686,7208677
280,1781144565275144,7223135
281,1781144565291570,7239561
282,1781144565310745,7258736
283,1781144565324437,7272428
284,1781144565341222,7289213
285,1781144565357948,7305939
286,1781144565374336,7322327
287,1781144565391310,7339301
288,1781144565407812,7355803
289,1781144565426630,7374621
290,1781144565441417,7389408
291,1781144565457713,7405704
292,1781144565474421,7422412
293,1781144565491185,7439176
294,1781144565507899,7455890
295,1781144565524747,7472738
296,1781144565542535,7490526
297,1781144565557883,7505874
298,1781144565576493,7524484
299,1781144565591593,7539584
300,1781144565606880,7554871
301,1781144565623696,7571687
302,1781144565641252,7589243
303,1781144565660774,7608765
304,1781144565679212,7627203
305,1781144565692444,7640435
306,1781144565707472,7655463
307,1781144565724324,7672315
308,1781144565740895,7688886
309,1781144565756840,7704831
310,1781144565774117,7722108
311,1781144565790730,7738721
312,1781144565807456,7755447
313,1781144565823976,7771967
314,1781144565840737,7788728
315,1781144565857168,7805159
316,1781144565876119,7824110
317,1781144565891457,7839448
318,1781144565906918,7854909
319,1781144565924877,7872868
320,1781144565940888,7888879
321,1781144565957561,7905552
322,1781144565973831,7921822
323,1781144565989940,7937931
324,1781144566007086,7955077
325,1781144566024061,7972052
326,1781144566040470,7988461
327,1781144566058730,8006721
328,1781144566075040,8023031
329,1781144566091165,8039156
330,1781144566107234,8055225
331,1781144566123982,8071973
332,1781144566140357,8088348
333,1781144566157293,8105284
334,1781144566174521,8122512
335,1781144566190986,8138977
336,1781144566208462,8156453
337,1781144566225221,8173212
338,1781144566240842,8188833
339,1781144566257179,8205170
340,1781144566273428,8221419
341,1781144566289709,8237700
342,1781144566306408,8254399
343,1781144566323070,8271061
344,1781144566340912,8288903
345,1781144566356464,8304455
346,1781144566373191,8321182
347,1781144566390080,8338071
348,1781144566407055,8355046
349,1781144566423834,8371825
350,1781144566440831,8388822
351,1781144566461645,8409636
352,1781144566474126,8422117
353,1781144566491012,8439003
354,1781144566510808,8458799
355,1781144566524461,8472452
356,1781144566539508,8487499
357,1781144566556348,8504339
358,1781144566574980,8522971
359,1781144566590829,8538820
360,1781144566607337,8555328
361,1781144566624219,8572210
362,1781144566640368,8588359
363,1781144566658674,8606665
364,1781144566674018,8622009
365,1781144566691383,8639374
366,1781144566707642,8655633
367,1781144566725351,8673342
368,1781144566744245,8692236
369,1781144566762940,8710931
370,1781144566780795,8728786
371,1781144566794399,8742390
372,1781144566808605,8756596
373,1781144566823786,8771777
374,1781144566840594,8788585
375,1781144566857788,8805779
376,1781144566874256,8822247
377,1781144566891880,8839871
378,1781144566907428,8855419
379,1781144566922753,8870744
380,1781144566940144,8888135
381,1781144566956222,8904213
382,1781144566974103,8922094
383,1781144566989973,8937964
384,1781144567007499,8955490
385,1781144567022902,8970893
386,1781144567039435,8987426
387,1781144567056166,9004157
388,1781144567073098,9021089
389,1781144567088686,9036677
390,1781144567106134,9054125
391,1781144567123191,9071182
392,1781144567140041,9088032
393,1781144567156097,9104088
394,1781144567174095,9122086
395,1781144567189661,9137652
396,1781144567206202,9154193
397,1781144567222579,9170570
398,1781144567240464,9188455
399,1781144567256772,9204763
400,1781144567272448,9220439
401,1781144567289500,9237491
402,1781144567306856,9254847
403,1781144567322513,9270504
404,1781144567338999,9286990
405,1781144567355846,9303837
406,1781144567374113,9322104
407,1781144567389831,9337822
408,1781144567406627,9354618
409,1781144567423120,9371111
410,1781144567441884,9389875
411,1781144567456139,9404130
412,1781144567474293,9422284
413,1781144567490752,9438743
414,1781144567506218,9454209
415,1781144567522135,9470126
416,1781144567539643,9487634
417,1781144567556167,9504158
418,1781144567572665,9520656
419,1781144567588465,9536456
420,1781144567605967,9553958
421,1781144567622868,9570859
422,1781144567639555,9587546
423,1781144567657217,9605208
424,1781144567672168,9620159
425,1781144567688829,9636820
426,1781144567706626,9654617
427,1781144567722650,9670641
428,1781144567741610,9689601
429,1781144567756762,9704753
430,1781144567771873,9719864
431,1781144567789425,9737416
432,1781144567806871,9754862
433,1781144567823211,9771202
434,1781144567840445,9788436
435,1781144567858228,9806219
436,1781144567874204,9822195
437,1781144567889692,9837683
438,1781144567906210,9854201
439,1781144567923560,9871551
440,1781144567940318,9888309
441,1781144567955193,9903184
442,1781144567973165,9921156
443,1781144567989067,9937058
444,1781144568006592,9954583
445,1781144568022212,9970203
446,1781144568038592,9986583
