frame_index,timestamp_us,session_time_us
0,1781144558065377,13368
1,1781144558082354,30345
2,1781144558097656,45647
3,1781144558115075,63066
4,1781144558130447,78438
5,1781144558150584,98575
6,1781144558163476,111467
7,1781144558185852,133843
8,1781144558196862,144853
9,1781144558220317,168308
10,1781144558230911,178902
11,1781144558369617,317608
12,1781144558433866,381857
13,1781144558449690,397681
14,1781144558462412,410403
15,1781144558478025,426016
16,1781144558722511,670502
17,1781144558826245,774236
18,1781144558888147,836138
19,1781144558972799,920790
20,1781144559130782,1078773
21,1781144559201627,1149618
22,1781144559354508,1302499
23,1781144559512628,1460619
24,1781144559618318,1566309
25,1781144559778433,1726424
26,1781144559999772,1947763
27,1781144560069185,2017176
28,1781144560244022,2192013
29,1781144560454498,2402489
30,1781144560688647,2636638
31,1781144560715528,2663519
32,1781144560773151,2721142
33,1781144560819782,2767773
34,1781144560853203,2801194
35,1781144560909985,2857976
36,1781144560957383,2905374
37,1781144560993851,2941842
38,1781144561023770,2971761
39,1781144561058296,3006287
40,1781144561090918,3038909
41,1781144561117219,3065210
42,1781144561164574,3112565
43,1781144561200200,3148191
44,1781144561235817,3183808
45,1781144561269693,3217684
46,1781144561309993,3257984
47,1781144561353792,3301783
48,1781144561391990,3339981
49,1781144561425626,3373617
50,1781144561458348,3406339
51,1781144561496763,3444754
52,1781144561541973,3489964
53,1781144561578907,3526898
54,1781144561603397,3551388
55,1781144561642798,3590789
56,1781144561680632,3628623
57,1781144561694364,3642355
58,1781144561722216,3670207
59,1781144561753051,3701042
60,1781144561775949,3723940
61,1781144561790582,3738573
62,1781144561806648,3754639
63,1781144561821469,3769460
64,1781144561835977,3783968
65,1781144561849940,3797931
66,1781144561872021,3820012
67,1781144561886246,3834237
68,1781144561896398,3844389
69,1781144561908749,3856740
70,1781144561922911,3870902
71,1781144561941537,3889528
72,1781144561956957,3904948
73,1781144561970403,3918394
74,1781144561984957,3932948
75,1781144561999674,3947665
76,1781144562015946,3963937
77,1781144562027734,3975725
78,1781144562039431,3987422
79,1781144562053219,4001210
80,1781144562064966,4012957
81,1781144562081202,4029193
82,1781144562095523,4043514
83,1781144562116073,4064064
84,1781144562129551,4077542
85,1781144562142897,4090888
86,1781144562158660,4106651
87,1781144562173540,4121531
88,1781144562188745,4136736
89,1781144562198122,4146113
90,1781144562218634,4166625
91,1781144562227975,4175966
92,1781144562241597,4189588
93,1781144562255572,4203563
94,1781144562264377,4212368
95,1781144562274661,4222652
96,1781144562290624,4238615
97,1781144562303416,4251407
98,1781144562313420,4261411
99,1781144562325356,4273347
100,1781144562336832,4284823
101,1781144562350723,4298714
102,1781144562363570,4311561
103,1781144562376573,4324564
104,1781144562392349,4340340
105,1781144562408004,4355995
106,1781144562423386,4371377
107,1781144562435958,4383949
108,1781144562448760,4396751
109,1781144562459540,4407531
110,1781144562471619,4419610
111,1781144562487974,4435965
112,1781144562502257,4450248
113,1781144562515362,4463353
114,1781144562524896,4472887
115,1781144562542190,4490181
116,1781144562557350,4505341
117,1781144562570551,4518542
118,1781144562585989,4533980
119,1781144562595724,4543715
120,1781144562612804,4560795
121,1781144562629036,4577027
122,1781144562645250,4593241
123,1781144562663740,4611731
124,1781144562678769,4626760
125,1781144562692926,4640917
126,1781144562714879,4662870
127,1781144562728535,4676526
128,1781144562744723,4692714
129,1781144562760580,4708571
130,1781144562778819,4726810
131,1781144562792650,4740641
132,1781144562809689,4757680
133,1781144562826823,4774814
134,1781144562843984,4791975
135,1781144562862543,4810534
136,1781144562879106,4827097
137,1781144562893478,4841469
138,1781144562912392,4860383
139,1781144562926117,4874108
140,1781144562942918,4890909
141,1781144562960361,4908352
142,1781144562979237,4927228
143,1781144562994900,4942891
144,1781144563010629,4958620
145,1781144563026039,4974030
146,1781144563043763,4991754
147,1781144563059581,5007572
148,1781144563076172,5024163
149,1781144563093038,5041029
150,1781144563115049,5063040
151,1781144563127158,5075149
152,1781144563145112,5093103
153,1781144563159354,5107345
154,1781144563177002,5124993
155,1781144563192375,5140366
156,1781144563210220,5158211
157,1781144563226877,5174868
158,1781144563243084,5191075
159,1781144563260260,5208251
160,1781144563277343,5225334
161,1781144563293735,5241726
162,1781144563310532,5258523
163,1781144563326514,5274505
164,1781144563342578,5290569
165,1781144563359099,5307090
166,1781144563379783,5327774
167,1781144563394900,5342891
168,1781144563413449,5361440
169,1781144563427746,5375737
170,1781144563443104,5391095
171,1781144563461261,5409252
172,1781144563482652,5430643
173,1781144563493443,5441434
174,1781144563511030,5459021
175,1781144563527489,5475480
176,1781144563543514,5491505
177,1781144563560911,5508902
178,1781144563577641,5525632
179,1781144563592596,5540587
180,1781144563609952,5557943
181,1781144563627133,5575124
182,1781144563645639,5593630
183,1781144563662277,5610268
184,1781144563675975,5623966
185,1781144563692290,5640281
186,1781144563709549,5657540
187,1781144563725987,5673978
188,1781144563745606,5693597
189,1781144563759816,5707807
190,1781144563776834,5724825
191,1781144563792995,5740986
192,1781144563811271,5759262
193,1781144563826137,5774128
194,1781144563842420,5790411
195,1781144563858831,5806822
196,1781144563875358,5823349
197,1781144563892459,5840450
198,1781144563909638,5857629
199,1781144563927038,5875029
200,1781144563942875,5890866
201,1781144563959552,5907543
202,1781144563977485,5925476
203,1781144563992003,5939994
204,1781144564009039,5957030
205,1781144564025230,5973221
206,1781144564042015,5990006
207,1781144564059138,6007129
208,1781144564076539,6024530
209,1781144564093350,6041341
210,1781144564111565,6059556
211,1781144564125419,6073410
212,1781144564142789,6090780
213,1781144564158843,6106834
214,1781144564175958,6123949
215,1781144564192282,6140273
216,1781144564209504,6157495
217,1781144564226017,6174008
218,1781144564241750,6189741
219,1781144564258347,6206338
220,1781144564276518,6224509
221,1781144564292621,6240612
222,1781144564309122,6257113
223,1781144564328229,6276220
224,1781144564343084,6291075
225,1781144564360077,6308068
226,1781144564378449,6326440
227,1781144564392206,6340197
228,1781144564409278,6357269
229,1781144564424775,6372766
230,1781144564442183,6390174
231,1781144564458756,6406747
232,1781144564475558,6423549
233,1781144564491859,6439850
234,1781144564509085,6457076
235,1781144564526471,6474462
236,1781144564545875,6493866
237,1781144564559081,6507072
238,1781144564577025,6525016
239,1781144564592614,6540605
240,1781144564610490,6558481
241,1781144564625376,6573367
242,1781144564642458,6590449
243,1781144564703790,6651781
244,1781144564717458,6665449
245,1781144564735842,6683833
246,1781144564748231,6696222
247,1781144564761780,6709771
248,1781144564778141,6726132
249,1781144564790675,6738666
250,1781144564801700,6749691
251,1781144564812406,6760397
252,1781144564825571,6773562
