frame_index,timestamp_us,session_time_us
0,1781148795852338,1337
1,1781148795868288,17287
2,1781148795887226,36225
3,1781148795905556,54555
4,1781148795944372,93371
5,1781148795948235,97234
6,1781148795954892,103891
7,1781148795969822,118821
8,1781148795988702,137701
9,1781148796001605,150604
10,1781148796019059,168058
11,1781148796036114,185113
12,1781148796054481,203480
13,1781148796070178,219177
14,1781148796086071,235070
15,1781148796103779,252778
16,1781148796120663,269662
17,1781148796137085,286084
18,1781148796153030,302029
19,1781148796170100,319099
20,1781148796186409,335408
21,1781148796201828,350827
22,1781148796220325,369324
23,1781148796237149,386148
24,1781148796254181,403180
25,1781148796269892,418891
26,1781148796286021,435020
27,1781148796301773,450772
28,1781148796320043,469042
29,1781148796335574,484573
30,1781148796353006,502005
31,1781148796371849,520848
32,1781148796386112,535111
33,1781148796402377,551376
34,1781148796419997,568996
35,1781148796436064,585063
36,1781148796451826,600825
37,1781148796468599,617598
38,1781148796486379,635378
39,1781148796503235,652234
40,1781148796519276,668275
41,1781148796535375,684374
42,1781148796553337,702336
43,1781148796569483,718482
44,1781148796586765,735764
45,1781148796602817,751816
46,1781148796620990,769989
47,1781148796636402,785401
48,1781148796653454,802453
49,1781148796669555,818554
50,1781148796686787,835786
51,1781148796700810,849809
52,1781148796719358,868357
53,1781148796735700,884699
54,1781148796754270,903269
55,1781148796768661,917660
56,1781148796786172,935171
57,1781148796802921,951920
58,1781148796818738,967737
59,1781148796836759,985758
60,1781148796856408,1005407
61,1781148796874258,1023257
62,1781148796891617,1040616
63,1781148796904076,1053075
64,1781148796920941,1069940
65,1781148796937156,1086155
66,1781148796953950,1102949
67,1781148796971263,1120262
68,1781148796987237,1136236
69,1781148797004183,1153182
70,1781148797022053,1171052
71,1781148797037307,1186306
72,1781148797060626,1209625
73,1781148797071349,1220348
74,1781148797088248,1237247
75,1781148797104508,1253507
76,1781148797120878,1269877
77,1781148797135834,1284833
78,1781148797152051,1301050
79,1781148797168726,1317725
80,1781148797184502,1333501
81,1781148797201657,1350656
82,1781148797219290,1368289
83,1781148797234301,1383300
84,1781148797253048,1402047
85,1781148797267565,1416564
86,1781148797285847,1434846
87,1781148797300936,1449935
88,1781148797318713,1467712
89,1781148797335077,1484076
90,1781148797352324,1501323
91,1781148797368764,1517763
92,1781148797385482,1534481
93,1781148797401906,1550905
94,1781148797418760,1567759
95,1781148797435135,1584134
96,1781148797451920,1600919
97,1781148797468474,1617473
98,1781148797485695,1634694
99,1781148797500997,1649996
100,1781148797520803,1669802
