frame_index,timestamp_us,session_time_us
0,1781148795856076,5075
1,1781148795872561,21560
2,1781148795890957,39956
3,1781148795908895,57894
4,1781148795935892,84891
5,1781148795938272,87271
6,1781148795959790,108789
7,1781148795972397,121396
8,1781148795990944,139943
9,1781148796005315,154314
10,1781148796023772,172771
11,1781148796038751,187750
12,1781148796055992,204991
13,1781148796071884,220883
14,1781148796088666,237665
15,1781148796105401,254400
16,1781148796122665,271664
17,1781148796138532,287531
18,1781148796155949,304948
19,1781148796171610,320609
20,1781148796187987,336986
21,1781148796204034,353033
22,1781148796221940,370939
23,1781148796238641,387640
24,1781148796251591,400590
25,1781148796271279,420278
26,1781148796288596,437595
27,1781148796304390,453389
28,1781148796321640,470639
29,1781148796338062,487061
30,1781148796354391,503390
31,1781148796368562,517561
32,1781148796387818,536817
33,1781148796405366,554365
34,1781148796421602,570601
35,1781148796437652,586651
36,1781148796454701,603700
37,1781148796471056,620055
38,1781148796488071,637070
39,1781148796504822,653821
40,1781148796521140,670139
41,1781148796538123,687122
42,1781148796554981,703980
43,1781148796571281,720280
44,1781148796588630,737629
45,1781148796604449,753448
46,1781148796617931,766930
47,1781148796637967,786966
48,1781148796655109,804108
49,1781148796671000,819999
50,1781148796688521,837520
51,1781148796704171,853170
52,1781148796721396,870395
53,1781148796737164,886163
54,1781148796755940,904939
55,1781148796771005,920004
56,1781148796788374,937373
57,1781148796804341,953340
58,1781148796821630,970629
59,1781148796838472,987471
60,1781148796852814,1001813
61,1781148796869106,1018105
62,1781148796887258,1036257
63,1781148796906463,1055462
64,1781148796923372,1072371
65,1781148796939407,1088406
66,1781148796956462,1105461
67,1781148796973753,1122752
68,1781148796988814,1137813
69,1781148797006272,1155271
70,1781148797024611,1173610
71,1781148797039632,1188631
72,1781148797055412,1204411
73,1781148797073606,1222605
74,1781148797093810,1242809
75,1781148797106816,1255815
76,1781148797123460,1272459
77,1781148797137360,1286359
78,1781148797153697,1302696
79,1781148797170287,1319286
80,1781148797186934,1335933
81,1781148797202888,1351887
82,1781148797221132,1370131
83,1781148797236400,1385399
84,1781148797254908,1403907
85,1781148797269923,1418922
86,1781148797283456,1432455
87,1781148797303308,1452307
88,1781148797320362,1469361
89,1781148797336505,1485504
90,1781148797354133,1503132
91,1781148797370203,1519202
92,1781148797387117,1536116
93,1781148797403184,1552183
94,1781148797419971,1568970
95,1781148797436338,1585337
96,1781148797453472,1602471
97,1781148797469717,1618716
98,1781148797487298,1636297
99,1781148797503251,1652250
100,1781148797516788,1665787
101,1781148797537497,1686496
102,1781148797553791,1702790
103,1781148797570174,1719173
104,1781148797586060,1735059
105,1781148797604224,1753223
106,1781148797621651,1770650
107,1781148797637347,1786346
108,1781148797655958,1804957
109,1781148797670173,1819172
110,1781148797686847,1835846
111,1781148797706449,1855448
112,1781148797720755,1869754
113,1781148797737643,1886642
114,1781148797755228,1904227
115,1781148797770245,1919244
116,1781148797788218,1937217
117,1781148797804017,1953016
118,1781148797820227,1969226
119,1781148797836236,1985235
120,1781148797853396,2002395
121,1781148797869557,2018556
122,1781148797886396,2035395
123,1781148797902353,2051352
124,1781148797919373,2068372
125,1781148797936764,2085763
126,1781148797953166,2102165
127,1781148797969175,2118174
128,1781148797986862,2135861
129,1781148798003157,2152156
130,1781148798019659,2168658
131,1781148798036150,2185149
132,1781148798053620,2202619
133,1781148798070001,2219000
134,1781148798086391,2235390
135,1781148798102592,2251591
136,1781148798119325,2268324
137,1781148798136225,2285224
138,1781148798153225,2302224
139,1781148798169372,2318371
140,1781148798186108,2335107
141,1781148798202645,2351644
142,1781148798219586,2368585
143,1781148798237447,2386446
144,1781148798253011,2402010
145,1781148798269239,2418238
146,1781148798286127,2435126
147,1781148798302478,2451477
148,1781148798319788,2468787
149,1781148798335701,2484700
150,1781148798352401,2501400
151,1781148798369259,2518258
152,1781148798383578,2532577
153,1781148798402269,2551268
154,1781148798419373,2568372
155,1781148798437018,2586017
156,1781148798453321,2602320
157,1781148798468895,2617894
158,1781148798485876,2634875
159,1781148798502283,2651282
160,1781148798518965,2667964
161,1781148798535772,2684771
162,1781148798555101,2704100
163,1781148798569122,2718121
164,1781148798585617,2734616
165,1781148798602024,2751023
166,1781148798619157,2768156
167,1781148798635093,2784092
168,1781148798652487,2801486
169,1781148798669109,2818108
170,1781148798687049,2836048
171,1781148798702272,2851271
172,1781148798719447,2868446
173,1781148798735393,2884392
174,1781148798752184,2901183
175,1781148798768743,2917742
176,1781148798786042,2935041
177,1781148798802106,2951105
178,1781148798819302,2968301
179,1781148798835486,2984485
180,1781148798852841,3001840
181,1781148798869028,3018027
182,1781148798886585,3035584
183,1781148798902314,3051313
184,1781148798918512,3067511
185,1781148798934965,3083964
186,1781148798952242,3101241
187,1781148798968322,3117321
188,1781148798987226,3136225
189,1781148799001812,3150811
190,1781148799019361,3168360
191,1781148799035202,3184201
192,1781148799051680,3200679
193,1781148799068229,3217228
194,1781148799086690,3235689
195,1781148799101630,3250629
196,1781148799119278,3268277
197,1781148799135185,3284184
198,1781148799152278,3301277
199,1781148799168779,3317778
200,1781148799186361,3335360
201,1781148799202067,3351066
202,1781148799219175,3368174
203,1781148799235854,3384853
204,1781148799253520,3402519
205,1781148799268831,3417830
206,1781148799287655,3436654
207,1781148799302010,3451009
208,1781148799318900,3467899
209,1781148799335092,3484091
210,1781148799352733,3501732
211,1781148799367733,3516732
212,1781148799386648,3535647
213,1781148799401752,3550751
214,1781148799419471,3568470
215,1781148799435768,3584767
216,1781148799455070,3604069
217,1781148799468572,3617571
218,1781148799485802,3634801
219,1781148799501724,3650723
220,1781148799518788,3667787
221,1781148799534879,3683878
222,1781148799552726,3701725
223,1781148799568097,3717096
224,1781148799584680,3733679
225,1781148799601715,3750714
226,1781148799615643,3764642
227,1781148799634965,3783964
228,1781148799652485,3801484
229,1781148799667889,3816888
230,1781148799685232,3834231
231,1781148799701661,3850660
232,1781148799718141,3867140
233,1781148799734766,3883765
234,1781148799752156,3901155
235,1781148799767802,3916801
