frame_index,timestamp_us,session_time_us
0,1781148795854523,3522
1,1781148795870487,19486
2,1781148795889325,38324
3,1781148795900900,49899
4,1781148795925600,74599
5,1781148795945546,94545
6,1781148795957169,106168
7,1781148795966745,115744
8,1781148795984919,133918
9,1781148796003772,152771
10,1781148796020005,169004
11,1781148796033079,182078
12,1781148796050138,199137
13,1781148796066305,215304
14,1781148796087003,236002
15,1781148796099747,248746
16,1781148796116792,265791
17,1781148796133054,282053
18,1781148796150249,299248
19,1781148796166208,315207
20,1781148796183031,332030
21,1781148796202650,351649
22,1781148796216528,365527
23,1781148796233114,382113
24,1781148796255091,404090
25,1781148796266382,415381
26,1781148796287056,436055
27,1781148796299397,448396
28,1781148796316492,465491
29,1781148796332840,481839
30,1781148796349699,498698
31,1781148796366075,515074
32,1781148796382636,531635
33,1781148796403261,552260
34,1781148796416399,565398
35,1781148796432634,581633
36,1781148796452634,601633
37,1781148796469532,618531
38,1781148796482732,631731
39,1781148796500833,649832
40,1781148796515989,664988
41,1781148796532686,681685
42,1781148796549491,698490
43,1781148796566990,715989
44,1781148796583160,732159
45,1781148796599216,748215
46,1781148796621961,770960
47,1781148796632564,781563
48,1781148796651113,800112
49,1781148796665773,814772
50,1781148796682607,831606
51,1781148796702625,851624
52,1781148796716885,865884
53,1781148796732322,881321
54,1781148796749717,898716
55,1781148796765974,914973
56,1781148796783755,932754
57,1781148796799274,948273
58,1781148796819613,968612
59,1781148796832519,981518
60,1781148796849715,998714
61,1781148796867312,1016311
62,1781148796882674,1031673
63,1781148796899159,1048158
64,1781148796916023,1065022
65,1781148796932452,1081451
66,1781148796949216,1098215
67,1781148796966016,1115015
68,1781148796982725,1131724
69,1781148796999062,1148061
70,1781148797016362,1165361
71,1781148797032363,1181362
72,1781148797051979,1200978
73,1781148797065900,1214899
74,1781148797084449,1233448
75,1781148797099288,1248287
76,1781148797117494,1266493
77,1781148797132257,1281256
78,1781148797148708,1297707
79,1781148797166520,1315519
80,1781148797182084,1331083
81,1781148797198570,1347569
82,1781148797216124,1365123
83,1781148797235103,1384102
84,1781148797249131,1398130
85,1781148797265263,1414262
86,1781148797286932,1435931
87,1781148797298737,1447736
88,1781148797315401,1464400
89,1781148797331995,1480994
90,1781148797348679,1497678
91,1781148797366578,1515577
92,1781148797382134,1531133
93,1781148797398656,1547655
94,1781148797415403,1564402
95,1781148797432038,1581037
